Issue Type,Key,Epic Name,Summary,Epic Link,Pilar,Start date,Due date,Fonte,Labels,Components,Sprint,Actual end,Actual start,Description,Pair with,Pairing with,Pairing with,Pairing with,Pairing with...,Checklist Progress,Checklist Progress %,Epic Status,Status,Story Points,Assignee,Team,Priority,parent,Parent Link,Linked Issues,Progress,Resolved,Due date,End date,Resignation date,Fix versions
Task,RVO-6678,,Criação da visão do Forecasting para CMRR Prime e CMRR Co-Prime,RVO-4926,,05/05/2026,06/05/2026,,Vendas,,The Office,,,"h2. O que precisa ser feito?

Criar duas novas visões de CMRR Prime e CMRR Co-Prime e colocar no Forecasting

h2. Impacto esperado

Time conseguir visualizar em tempo real como está o seu forecast, desta forma consegue se organizar melhor em quais oportunidades precisarão atacar.

h2. Pronto quando... (Definition of Done)

* Forecasting com a visão de CMRR Prime
* Forecasting com a visão de CMRR Co-Prime

----

||*Nome*||*Tipo*||*Observações*||
|IndicadorUnicoExpansaoController|Classe apex|Usado para fazer os cálculos do CMRR de Prime e Co-Prime|
|OpportunitySplit.CMRR_Oficial__c|Campo customizado|Usado para guardar o CMRR Oficial do opp Split|
|Sales_AtribuirCMRROficialOpportunitySplit|Flow|Usado para fazer o cálculo do CMRR oficial no opportunity split|",,,,,,,0,,Em andamento,5,Tiago Neves,,Highest,RVO-4926,,,0,,,,,
Task,RVO-6677,,Criação de campo de CMRR TM e criação de automação usando como base o campo ACV TM,RVO-4926,,05/05/2026,06/05/2026,,Vendas,,The Office,,,"h2. O que precisa ser feito?

Criar um campo de CMRR TM e criar uma automação para atualizar o campo para ACV TM / 12 ao ser alterado o campo.

h2. Impacto esperado

Manter a consistência dos dados e diminuir o preenchimento de 2 campos, além de apresentar tais dados de maneira correta no forecast.

h2. Pronto quando... (Definition of Done)

* Campo criado em produção
* Automação criada e funcionando

----

||*Nome*||*Tipo*||*Observações*||
|CMRR_TM__c|Campo customizado|Campo usado para guardar o CMRR TM da oportunidade|
|Sales_AjustarCMRRTMQuandoACVTMForAtualizado|Flow|Flow usado para atualizar o CMRR TM quando o ACV TM for atualizado|",,,,,,,0,,Concluído,1,Tiago Neves,,Highest,RVO-4926,,,0,05/05/2026 15:11:25,,,,
Story,RVO-6673,,Subir novos negócios,RVO-129,,05/05/2026,08/05/2026,,,,The Office,,,"Subida de novos negócios nas contas solicitadas.
[https://docs.google.com/spreadsheets/d/1Zj6-iKkkl9vZozn5vAP-DDIuvMsa7UzmyypXbcspH8A/edit?pli=1&gid=1667392840#gid=1667392840|https://docs.google.com/spreadsheets/d/1Zj6-iKkkl9vZozn5vAP-DDIuvMsa7UzmyypXbcspH8A/edit?pli=1&gid=1667392840#gid=1667392840|smart-link] ",,,,,,,0,,Em andamento,3,david oliveira soares,,Medium,RVO-129,,,0,,,,,
Sub-task,RVO-6672,,CE - SmartVagas da suzano caiu,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,5",Tiago Neves,,Highest,RVO-6592,,,0,05/05/2026 12:29:57,,,,
Task,RVO-6671,,Impactos mudanças de carteiras (pai e filho e geral),RVO-5317,,,12/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Calcular os impactos das mudanças de carteiras (contas sem dono, relação pai-filho e visão geral) nas metas dos vendedores.

----

h3. 🎯 Impacto esperado

Clareza dos impactos das inconsistências de carteira nas metas, suportando ajustes e decisões comerciais.

----

h3. ✅ Pronto quando...

* Contas sem dono identificadas e com impacto quantificado
* Inconsistências pai-filho mapeadas e com impacto calculado
* Impacto consolidado nas metas dos vendedores",,,,,,,0,,Pronto para Iniciar,2,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6670,,Validação Análises RV,RVO-5317,,06/05/2026,05/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Validar as simulações de RV, analisando os impactos de cada cenário para suportar a decisão do melhor calculo para o H2.

----

h3. 🎯 Impacto esperado

Clareza dos impactos de cada cenário de RV, suportando a tomada de decisão para o H2.

----

h3. ✅ Pronto quando...

* Simulações revisadas e validadas
* Impactos por cenário quantificados
* Comparação entre cenários consolidada
* Material pronto para apresentação na reunião",,,,,,,0,,Em andamento,3,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6667,,Revisar documentação de RV,RVO-5317,,,06/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Revisar a página de documentação de RV, garantindo alinhamento com o padrão e preparando para divulgação ao time.

----

h3. 🎯 Impacto esperado

Clareza e padronização das regras de RV, reduzindo dúvidas e desalinhamentos no time.

----

h3. ✅ Pronto quando...

* Conteúdo revisado conforme padrão de documentação
* Regras de RV claras e sem ambiguidades
* Página final validada
* Material publicado e acessível para o time",,,,,,,0,,Pronto para Iniciar,2,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Sub-task,RVO-6666,,Ajustar busca de campanhas do indicador Go Up para buscar as campanhas de marketing,,,,,,,,The Office,,,,,,,,,,0,,Em andamento,,Tiago Neves,,Medium,RVO-6591,,,0,,,,,
Task,RVO-6664,,Criação de Material para Reunião com Gerente de CH,RVO-105,,07/05/2026,12/05/2026,,CH,,The Office,,,"Criação de um material para apresentação do time de PBA e da minha pessoa como auxiliadora ao time de CH para o novo gerente de CH, além dos dashboards desenvolvidos e regras de negócio aplicadas. 

A entrega será um material de apresentação (PPT, PDF ou HTML) com o conteúdo descrito acima.",,,,,,,0,,BACKLOG,8,Lana Reis,,Medium,RVO-105,,,0,,,,,
Task,RVO-6663,,[GO UP] - Melhorias no indicador único,,,,,,,,The Office,,,,,,,,,,,,BACKLOG,,Gabriel Pires,,Medium,,,,0,,,,,
Task,RVO-6662,,[ECONOMICS] - Validação retroativa,RVO-1182,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,4,Gabriel Pires,,Medium,RVO-1182,,,0,,,,,
Story,RVO-6661,,CRM Ajuda - Ajustar a etapa das contas,RVO-129,,04/05/2026,11/05/2026,,,,The Office,,,"Ajustar a fase do negócio, adicionando ou excluindo alguma fase.

[https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000ncSqHUAU/view?queryScope=userFolders|https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000ncSqHUAU/view?queryScope=userFolders|smart-card]",,,,,,,0,,Em andamento,3,david oliveira soares,,Medium,RVO-129,,,0,,,,,
